"date" "nhosp" "npos" "seed"
2020-10-12 3 167 17
2020-10-13 2 155 26
2020-10-14 1 162 22
2020-10-15 2 141 18
2020-10-16 4 137 27
2020-10-17 3 88 27
2020-10-18 3 93 27
2020-10-19 1 219 41
2020-10-20 6 183 35
2020-10-21 7 221 29
2020-10-22 4 285 40
2020-10-23 2 368 42
2020-10-24 7 231 42
2020-10-25 6 202 53
2020-10-26 9 487 61
2020-10-27 5 391 56
2020-10-28 7 515 55
2020-10-29 12 431 59
2020-10-30 5 617 59
2020-10-31 6 385 48
2020-11-01 5 323 40
2020-11-02 13 647 34
2020-11-03 15 683 45
2020-11-04 9 690 33
2020-11-05 18 602 31
2020-11-06 17 650 29
2020-11-07 12 388 22
2020-11-08 9 385 30
2020-11-09 15 707 28
2020-11-10 11 603 18
2020-11-11 21 662 22
2020-11-12 17 637 28
2020-11-13 19 697 30
2020-11-14 8 379 18
2020-11-15 12 405 17
2020-11-16 18 722 23
2020-11-17 14 635 16
2020-11-18 11 652 17
2020-11-19 15 564 17
2020-11-20 12 519 17
2020-11-21 15 288 19
2020-11-22 15 279 17
2020-11-23 15 610 20
2020-11-24 13 415 16
2020-11-25 19 513 14
2020-11-26 10 477 14
2020-11-27 15 447 8
2020-11-28 13 236 14
2020-11-29 7 228 13
2020-11-30 15 448 15
2020-12-01 17 362 9
2020-12-02 10 420 7
2020-12-03 13 400 14
2020-12-04 25 382 14
2020-12-05 9 252 19
2020-12-06 15 262 16
2020-12-07 13 500 17
2020-12-08 13 392 8
2020-12-09 11 453 14
2020-12-10 13 435 14
2020-12-11 7 403 12
2020-12-12 12 256 8
2020-12-13 8 285 11
2020-12-14 11 544 15
2020-12-15 18 440 9
2020-12-16 6 450 8
2020-12-17 13 431 9
2020-12-18 20 475 12
2020-12-19 8 309 9
2020-12-20 17 299 9
2020-12-21 11 621 9
2020-12-22 9 560 8
2020-12-23 11 587 5
2020-12-24 8 292 8
2020-12-25 12 293 8
2020-12-26 9 466 6
2020-12-27 14 425 14
2020-12-28 23 778 13
2020-12-29 16 699 22
2020-12-30 13 639 33
2020-12-31 11 434 47
2021-01-01 15 346 56
2021-01-02 9 526 82
2021-01-03 8 447 57
2021-01-04 15 938 91
2021-01-05 9 795 71
2021-01-06 8 710 90
2021-01-07 19 739 99
2021-01-08 13 651 92
2021-01-09 13 414 85
2021-01-10 10 435 60
2021-01-11 12 639 58
2021-01-12 16 563 53
2021-01-13 18 462 37
2021-01-14 11 454 45
2021-01-15 13 398 40
2021-01-16 8 267 34
2021-01-17 5 226 23
2021-01-18 11 446 24
2021-01-19 9 342 17
2021-01-20 14 355 19
2021-01-21 17 347 24
2021-01-22 15 331 22
2021-01-23 6 212 21
2021-01-24 13 189 15
2021-01-25 4 387 14
2021-01-26 7 276 16
2021-01-27 4 344 15
2021-01-28 9 285 16
2021-01-29 11 295 23
2021-01-30 2 175 21
2021-01-31 6 183 13
2021-02-01 5 319 16
2021-02-02 6 294 10
2021-02-03 0 325 6
2021-02-04 5 253 10
2021-02-05 6 288 9
2021-02-06 5 198 8
2021-02-07 5 167 6
2021-02-08 8 301 5
2021-02-09 6 270 14
2021-02-10 7 310 6
2021-02-11 5 262 8
2021-02-12 6 247 5
2021-02-13 7 185 5
2021-02-14 2 160 12
2021-02-15 6 332 17
2021-02-16 3 305 11
2021-02-17 11 320 11
2021-02-18 8 302 9
2021-02-19 11 338 14
2021-02-20 7 216 9
2021-02-21 13 221 9
2021-02-22 8 411 8
2021-02-23 13 445 13
2021-02-24 11 461 15
2021-02-25 13 527 9
2021-02-26 9 493 11
2021-02-27 7 382 16
2021-02-28 8 392 14
2021-03-01 13 552 20
2021-03-02 13 639 19
2021-03-03 14 658 20
2021-03-04 10 601 24
2021-03-05 17 703 15
2021-03-06 10 465 18
2021-03-07 17 572 29
2021-03-08 25 846 27
2021-03-09 21 798 21
2021-03-10 19 856 23
2021-03-11 23 780 24
2021-03-12 31 950 29
2021-03-13 24 737 22
2021-03-14 26 698 24
2021-03-15 26 1107 24
2021-03-16 25 1007 30
2021-03-17 29 1058 26
2021-03-18 36 1044 21
2021-03-19 33 1001 31
2021-03-20 27 709 25
2021-03-21 31 649 21
2021-03-22 28 1107 29
2021-03-23 32 967 19
2021-03-24 20 1001 21
2021-03-25 30 871 24
2021-03-26 26 895 25
2021-03-27 26 602 34
2021-03-28 25 477 18
2021-03-29 35 865 17
2021-03-30 35 849 18
2021-03-31 26 806 19
2021-04-01 22 624 16
2021-04-02 36 700 18
2021-04-03 25 612 12
2021-04-04 27 653 14
2021-04-05 26 715 18
2021-04-06 31 888 13
2021-04-07 30 848 14
2021-04-08 29 770 15
2021-04-09 33 712 15
2021-04-10 18 496 16
2021-04-11 22 396 15
2021-04-12 27 738 20
2021-04-13 29 595 22
2021-04-14 21 601 20
2021-04-15 27 549 20
2021-04-16 14 579 17
2021-04-17 21 331 24
2021-04-18 22 346 22
2021-04-19 19 575 20
2021-04-20 28 532 24
2021-04-21 16 538 22
2021-04-22 18 463 24
2021-04-23 19 510 11
2021-04-24 9 287 14
2021-04-25 15 317 7
2021-04-26 21 502 12
2021-04-27 11 481 17
2021-04-28 10 419 12
2021-04-29 10 414 6
2021-04-30 6 441 9
2021-05-01 6 251 10
2021-05-02 4 296 7
2021-05-03 13 511 11
2021-05-04 7 463 15
2021-05-05 12 495 9
2021-05-06 12 509 16
2021-05-07 6 438 12
2021-05-08 4 352 11
2021-05-09 14 352 12
2021-05-10 8 524 11
2021-05-11 14 427 8
2021-05-12 10 380 15
2021-05-13 10 298 7
2021-05-14 4 415 7
2021-05-15 4 240 5
2021-05-16 7 280 3
2021-05-17 7 183 6
2021-05-18 14 542 7
2021-05-19 7 541 9
2021-05-20 11 603 11
2021-05-21 3 668 8
2021-05-22 12 352 10
2021-05-23 7 338 1
2021-05-24 10 383 5
2021-05-25 10 428 5
2021-05-26 9 363 10
2021-05-27 4 384 5
2021-05-28 7 347 6
2021-05-29 2 199 6
2021-05-30 4 185 7
2021-05-31 8 344 10
2021-06-01 9 387 8
2021-06-02 4 293 8
2021-06-03 3 282 7
2021-06-04 10 262 9
2021-06-05 4 145 6
2021-06-06 7 151 4
2021-06-07 4 203 5
2021-06-08 4 213 1
2021-06-09 4 207 5
2021-06-10 1 202 12
2021-06-11 9 155 3
2021-06-12 1 129 4
2021-06-13 3 111 5
2021-06-14 5 208 1
2021-06-15 3 195 6
2021-06-16 3 215 6
2021-06-17 2 197 5
2021-06-18 4 171 6
2021-06-19 3 153 6
2021-06-20 2 115 6
2021-06-21 3 205 6
2021-06-22 4 266 3
2021-06-23 6 239 1
2021-06-24 2 174 11
2021-06-25 3 175 9
2021-06-26 2 106 7
2021-06-27 0 106 8
2021-06-28 2 226 9
2021-06-29 2 213 7
2021-06-30 2 261 7
2021-07-01 3 197 9
2021-07-02 2 186 7
2021-07-03 0 99 8
2021-07-04 5 123 9
2021-07-05 3 207 9
2021-07-06 3 200 15
2021-07-07 2 204 15
2021-07-08 4 183 9
2021-07-09 4 175 9
2021-07-10 0 108 14
2021-07-11 0 101 8
2021-07-12 2 187 31
2021-07-13 2 146 17
2021-07-14 0 183 23
2021-07-15 0 187 28
2021-07-16 2 226 21
2021-07-17 2 111 26
2021-07-18 6 144 27
2021-07-19 1 229 29
2021-07-20 0 173 29
2021-07-21 2 261 46
2021-07-22 3 215 41
2021-07-23 2 251 37
2021-07-24 3 175 49
2021-07-25 1 199 65
2021-07-26 3 315 61
2021-07-27 3 349 59
2021-07-28 5 422 63
2021-07-29 0 346 73
2021-07-30 6 354 59
2021-07-31 0 250 82
2021-08-01 1 245 73
2021-08-02 5 455 69
2021-08-03 3 446 78
2021-08-04 5 502 84
2021-08-05 4 463 106
2021-08-06 5 478 101
2021-08-07 1 322 103
2021-08-08 7 331 111
2021-08-09 9 669 95
2021-08-10 0 576 94
2021-08-11 1 610 101
2021-08-12 7 539 101
2021-08-13 4 546 105
2021-08-14 2 435 116
2021-08-15 5 376 100
2021-08-16 6 625 92
2021-08-17 4 637 88
2021-08-18 5 689 85
2021-08-19 3 670 82
2021-08-20 8 741 84
2021-08-21 6 592 55
2021-08-22 7 554 66
2021-08-23 9 1179 62
2021-08-24 5 1336 57
2021-08-25 8 1414 50
2021-08-26 6 1394 45
2021-08-27 11 1435 37
2021-08-28 5 1000 26
2021-08-29 13 956 35
2021-08-30 14 1856 33
2021-08-31 14 1624 24
2021-09-01 4 1613 22
2021-09-02 10 1523 25
2021-09-03 7 1545 16
2021-09-04 5 992 22
2021-09-05 8 954 24
2021-09-06 10 1784 19
2021-09-07 12 1438 20
2021-09-08 15 1382 17
2021-09-09 15 1326 16
2021-09-10 11 1183 20
2021-09-11 9 665 20
2021-09-12 17 778 9
2021-09-13 7 1313 17
2021-09-14 14 1012 15
2021-09-15 8 921 14
2021-09-16 13 810 16
2021-09-17 10 684 8
2021-09-18 15 510 6
2021-09-19 7 481 4
2021-09-20 9 988 5
2021-09-21 9 702 6
2021-09-22 6 725 5
2021-09-23 4 760 9
2021-09-24 12 650 19
2021-09-25 3 404 26
2021-09-26 10 386 38
2021-09-27 13 750 28
2021-09-28 11 609 41
2021-09-29 5 583 42
2021-09-30 6 498 43
2021-10-01 5 488 48
2021-10-02 6 300 44
2021-10-03 7 256 46
2021-10-04 8 657 38
2021-10-05 12 486 25
2021-10-06 12 492 27
2021-10-07 8 449 22
2021-10-08 6 446 18
2021-10-09 3 238 23
2021-10-10 3 243 17
2021-10-11 10 616 27
2021-10-12 7 459 17
2021-10-13 9 386 22
2021-10-14 10 375 13
2021-10-15 5 448 30
2021-10-16 8 290 26
2021-10-17 5 259 19
2021-10-18 12 746 19
2021-10-19 14 580 19
2021-10-20 12 715 21
2021-10-21 10 645 14
2021-10-22 10 752 12
2021-10-23 6 463 4
2021-10-24 5 502 9
2021-10-25 12 1224 10
2021-10-26 14 1055 NA
2021-10-27 17 1114 NA
2021-10-28 18 1143 NA
2021-10-29 18 1178 NA
2021-10-30 20 605 NA
2021-10-31 12 687 NA
2021-11-01 21 1975 NA
2021-11-02 25 1415 NA
2021-11-03 17 1652 NA
2021-11-04 22 1498 NA
2021-11-05 15 1457 NA
2021-11-06 15 885 NA
2021-11-07 15 958 NA
2021-11-08 26 2390 NA
2021-11-09 19 1753 NA
2021-11-10 24 1966 NA
2021-11-11 22 1773 NA
2021-11-12 13 1792 NA
2021-11-13 19 1088 NA
2021-11-14 27 1061 NA
2021-11-15 21 2861 NA
2021-11-16 20 2140 NA
2021-11-17 13 2434 NA
2021-11-18 21 2335 NA
2021-11-19 22 2222 NA
2021-11-20 16 1378 NA
2021-11-21 19 1351 NA
2021-11-22 23 3534 NA
2021-11-23 25 2800 NA
2021-11-24 26 2939 NA
2021-11-25 16 2822 NA
2021-11-26 24 2728 NA
2021-11-27 15 1796 NA
2021-11-28 37 1845 NA
2021-11-29 23 4688 NA
2021-11-30 39 3788 NA
2021-12-01 26 4073 NA
2021-12-02 28 4186 NA
2021-12-03 29 4293 NA
2021-12-04 24 2681 NA
2021-12-05 32 2898 NA
2021-12-06 35 6473 NA
2021-12-07 31 5517 NA
2021-12-08 25 5310 NA
2021-12-09 30 5301 NA
2021-12-10 32 5184 NA
2021-12-11 28 3166 NA
2021-12-12 30 3212 NA
2021-12-13 43 6646 NA
2021-12-14 43 5200 NA
2021-12-15 37 5024 NA
2021-12-16 32 4657 NA
2021-12-17 31 4252 NA
2021-12-18 24 2749 NA
2021-12-19 21 2606 NA
2021-12-20 33 5366 NA
2021-12-21 25 4174 NA
2021-12-22 16 3690 NA
2021-12-23 26 3353 NA
2021-12-24 28 1781 NA
2021-12-25 33 2026 NA
2021-12-26 15 2439 NA
2021-12-27 27 4798 NA
2021-12-28 24 4017 NA
2021-12-29 33 4172 NA
2021-12-30 27 4193 NA
2021-12-31 21 2833 NA
2022-01-01 25 2590 NA
2022-01-02 13 4056 NA
2022-01-03 21 9145 NA
2022-01-04 22 8016 NA
2022-01-05 25 7046 NA
2022-01-06 18 6220 NA
2022-01-07 15 6376 NA
2022-01-08 13 4435 NA
2022-01-09 16 5178 NA
2022-01-10 16 12140 NA
2022-01-11 18 10917 NA
2022-01-12 13 11137 NA
2022-01-13 16 10884 NA
2022-01-14 16 11350 NA
2022-01-15 15 7748 NA
2022-01-16 10 8643 NA
2022-01-17 18 20821 NA
2022-01-18 18 18541 NA
2022-01-19 26 18156 NA
2022-01-20 19 18280 NA
2022-01-21 17 18559 NA
2022-01-22 12 12270 NA
2022-01-23 24 12869 NA
2022-01-24 27 28366 NA
2022-01-25 24 23591 NA
2022-01-26 36 22090 NA
2022-01-27 36 20095 NA
2022-01-28 18 19003 NA
2022-01-29 24 10780 NA
2022-01-30 29 11548 NA
2022-01-31 29 27867 NA
2022-02-01 35 23470 NA
2022-02-02 23 20359 NA
2022-02-03 32 17534 NA
2022-02-04 25 17422 NA
2022-02-05 24 10968 NA
2022-02-06 37 11102 NA
2022-02-07 33 29479 NA
2022-02-08 36 25520 NA
2022-02-09 34 24017 NA
2022-02-10 56 21935 NA
2022-02-11 30 20538 NA
2022-02-12 36 9193 NA
2022-02-13 36 7832 NA
2022-02-14 59 20273 NA
2022-02-15 49 16667 NA
2022-02-16 53 17191 NA
2022-02-17 64 15827 NA
2022-02-18 64 15700 NA
2022-02-19 51 7700 NA
2022-02-20 50 7537 NA
2022-02-21 73 22217 NA
2022-02-22 75 18336 NA
2022-02-23 64 18140 NA
2022-02-24 72 15342 NA
2022-02-25 59 14545 NA
2022-02-26 68 6210 NA
2022-02-27 71 6188 NA
2022-02-28 83 17547 NA
2022-03-01 88 12468 NA
2022-03-02 74 11102 NA
2022-03-03 70 8896 NA
2022-03-04 59 8291 NA
2022-03-05 59 3722 NA
2022-03-06 59 3397 NA
2022-03-07 84 11621 NA
2022-03-08 87 7558 NA
2022-03-09 63 7188 NA
2022-03-10 71 5846 NA
2022-03-11 61 5385 NA
2022-03-12 44 2208 NA
2022-03-13 63 2256 NA
2022-03-14 58 7378 NA
2022-03-15 41 4628 NA
2022-03-16 69 4568 NA
2022-03-17 52 3777 NA
2022-03-18 49 3466 NA
2022-03-19 39 1576 NA
2022-03-20 40 1289 NA
2022-03-21 58 4697 NA
2022-03-22 51 3003 NA
2022-03-23 47 3245 NA
2022-03-24 55 2495 NA
2022-03-25 38 2291 NA
2022-03-26 33 987 NA
2022-03-27 37 816 NA
2022-03-28 30 2846 NA
2022-03-29 38 1743 NA
2022-03-30 41 1968 NA
2022-03-31 21 1459 NA
2022-04-01 27 1438 NA
2022-04-02 35 549 NA
2022-04-03 29 510 NA
2022-04-04 24 1840 NA
2022-04-05 24 1252 NA
2022-04-06 28 1221 NA
2022-04-07 35 913 NA
2022-04-08 23 948 NA
2022-04-09 31 390 NA
2022-04-10 24 331 NA
2022-04-11 21 1159 NA
2022-04-12 21 728 NA
2022-04-13 20 564 NA
2022-04-14 16 303 NA
2022-04-15 26 324 NA
2022-04-16 21 348 NA
2022-04-17 22 219 NA
2022-04-18 21 473 NA
2022-04-19 20 1140 NA
2022-04-20 16 753 NA
2022-04-21 18 571 NA
2022-04-22 15 549 NA
2022-04-23 20 157 NA
2022-04-24 13 134 NA
2022-04-25 15 620 NA
2022-04-26 14 352 NA
2022-04-27 9 409 NA
2022-04-28 11 340 NA
2022-04-29 7 344 NA
2022-04-30 4 107 NA
2022-05-01 10 86 NA
2022-05-02 14 465 NA
2022-05-03 9 333 NA
2022-05-04 14 298 NA
2022-05-05 11 289 NA
2022-05-06 8 319 NA
2022-05-07 6 90 NA
2022-05-08 3 87 NA
2022-05-09 14 460 NA
2022-05-10 13 291 NA
2022-05-11 11 307 NA
2022-05-12 11 277 NA
2022-05-13 12 291 NA
2022-05-14 11 86 NA
2022-05-15 11 63 NA
2022-05-16 10 397 NA
2022-05-17 4 45 NA
2022-05-18 14 371 NA
2022-05-19 8 285 NA
2022-05-20 14 294 NA
2022-05-21 8 90 NA
2022-05-22 14 74 NA
2022-05-23 7 423 NA
2022-05-24 8 286 NA
2022-05-25 12 303 NA
2022-05-26 12 80 NA
2022-05-27 11 334 NA
2022-05-28 4 79 NA
2022-05-29 12 82 NA
2022-05-30 17 474 NA
2022-05-31 14 301 NA
2022-06-01 11 316 NA
2022-06-02 12 303 NA
2022-06-03 11 306 NA
2022-06-04 12 93 NA
2022-06-05 14 76 NA
